date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:04	113064/113064	---M-Z	200	added ('OK')	text/html	etag:%221b9a8-5e5fd7ac-42409cc;gz%22	https://muson.laborasyon.com/layouts/vertical/index.html	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/layouts/vertical/index.html	(from )
11:07:05	705/705	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2010:07:01%20GMT	https://muson.laborasyon.com/robots.txt		(from )
11:07:05	1301/1301	---M--	200	added ('OK')	image/png	etag:%22515-5e5fd461-4240e6d;;;%22	https://muson.laborasyon.com/assets/media/image/favicon.png	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/assets/media/image/favicon.png	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:06	217078/217078	---M-Z	200	added ('OK')	text/css	etag:%2234ff6-5e5fd7c7-4241282;gz%22	https://muson.laborasyon.com/vendors/bundle.css	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/vendors/bundle.css	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:06	3133/3133	---M-Z	200	added ('OK')	text/css	etag:%22c3d-5e5fd7f3-424102f;gz%22	https://muson.laborasyon.com/vendors/slick/slick-theme.css	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/vendors/slick/slick-theme.css	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:07	6577/6577	---M-Z	200	added ('OK')	text/css	etag:%2219b1-5e5fd7e1-4241230;gz%22	https://muson.laborasyon.com/vendors/datepicker/daterangepicker.css	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/vendors/datepicker/daterangepicker.css	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:07	32433/32433	---M-Z	200	added ('OK')	text/css	etag:%227eb1-5e5fd7ce-42410ad;gz%22	https://muson.laborasyon.com/vendors/dataTable/datatables.min.css	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/vendors/dataTable/datatables.min.css	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:08	239697/239697	---M-Z	200	added ('OK')	text/css	etag:%223a851-5e5ff5cc-4240fd3;gz%22	https://muson.laborasyon.com/assets/css/app.min.css	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/assets/css/app.min.css	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:09	96226/96226	---M-Z	200	added ('OK')	text/html	etag:%22177e2-5e5fd7a0-42409ad;gz%22	https://muson.laborasyon.com/layouts/vertical/chat.html	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/layouts/vertical/chat.html	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:10	4492/4492	---M--	200	added ('OK')	image/jpeg	etag:%22118c-5e5fd4d0-4240e75;;;%22	https://muson.laborasyon.com/assets/media/image/user/women_avatar3.jpg	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/assets/media/image/user/women_avatar3.jpg	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:10	3208/3208	---M--	200	added ('OK')	image/jpeg	etag:%22c88-5e5fd4cf-4240e78;;;%22	https://muson.laborasyon.com/assets/media/image/user/man_avatar4.jpg	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/assets/media/image/user/man_avatar4.jpg	(from https://muson.laborasyon.com/layouts/vertical/index.html)
11:07:10	5874/5874	---M--	200	added ('OK')	image/jpeg	etag:%2216f2-5e5fd4d0-4240e7a;;;%22	https://muson.laborasyon.com/assets/media/image/user/women_avatar1.jpg	C:/Users/USER/Desktop/ikenna/website/Project/project/templates/templatess/muson.laborasyon.com/assets/media/image/user/women_avatar1.jpg	(from https://muson.laborasyon.com/layouts/vertical/index.html)
